vertex,x_m,y_m
1,-71.99999999999999,69.0
2,-70.0000000000002,70.99999999999982
3,-79.00000000000016,85.99999999999977
4,-83.99999999999902,82.00000000000065
5,-89.99999999999923,70.00000000000023
6,-85.99999999999892,68.00000000000009
