vertex,x_m,y_m
1,100.0,-50.00000000000001
2,94.99999999999969,-45.99999999999978
3,84.0000000000007,-46.99999999999967
4,80.00000000000017,-50.00000000000007
5,82.00000000000024,-53.000000000000185
6,95.99999999999984,-54.00000000000015
