method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,runtime_s,planning_calls,planning_time_s,cover_searches,failure
q2,n11_uniform_disk_1,uniform_disk,11,11,2894.002290066419,263.09111727876535,10495.011450332093,123,2,0.5830604000075255,6,0.36123850000149105,0,
q2,n11_two_clusters_0,two_clusters,11,11,2406.1477540490323,218.7407049135484,7945.7387702451615,127,1,0.4125394000002416,4,0.24854240000422578,0,
q2,n11_narrow_sector_3,narrow_sector,11,11,2646.327105756364,240.5751914323967,9616.63552878182,111,2,0.4421585999953095,4,0.2307351000054041,0,
q2,n12_uniform_disk_2,uniform_disk,12,12,3259.8532399470537,271.65443666225445,12069.266199735268,131,2,0.7274562000093283,9,0.5212393000110751,0,
q2,n12_two_clusters_1,two_clusters,12,12,2295.387393472327,191.28228278936058,7461.936967361635,124,0,0.2524402999988524,0,0.0,0,
q2,n12_coverage_seams_0,coverage_seams,12,12,3197.317617148875,266.44313476240626,11571.588085744379,135,7,0.5728128000046127,7,0.4082988000154728,0,
q2,n13_uniform_disk_3,uniform_disk,13,13,3197.1429133118513,245.93407025475778,12040.714566559254,121,0,0.4219033999979729,3,0.19885089999297634,0,
q2,n13_two_clusters_2,two_clusters,13,13,2293.7086256169864,176.4391250474605,7568.543128084933,119,1,0.2961722999898484,1,0.05342729999392759,0,
q2,n13_coverage_seams_1,coverage_seams,13,13,3375.6320553139203,259.66400425491696,12438.1602765696,133,13,0.9244867999950657,13,0.7369070999848191,0,
q2,n14_outer_ring_0,outer_ring,14,14,3862.8471991904353,275.91765708503107,14809.235995952175,139,1,0.28331729999626987,2,0.10393830001703463,0,
q2,n14_two_clusters_3,two_clusters,14,14,2399.812713718722,171.4151938370516,8094.063568593611,119,0,0.35116289999859873,2,0.09859510000387672,0,
q2,n14_coverage_seams_2,coverage_seams,14,14,3374.9674458058075,241.0691032718434,12334.837229029039,137,9,0.7171758000040427,9,0.5294119000172941,0,
q2,n15_outer_ring_1,outer_ring,15,15,3519.325825600591,234.62172170670607,13281.629128002955,130,5,0.7299628999899141,9,0.5027902000001632,0,
q2,n15_narrow_sector_0,narrow_sector,15,15,2520.8237280647695,168.05491520431798,9359.118640323844,96,0,0.32081570000445936,1,0.055058700003428385,0,
q2,n15_coverage_seams_3,coverage_seams,15,15,3492.423767060958,232.82825113739722,13292.11883530479,123,12,0.9196878999937326,12,0.7141259999916656,0,
q2,n16_outer_ring_2,outer_ring,16,16,3338.8104965038933,208.67565603149333,12599.052482519463,123,3,0.5064699000067776,5,0.2606839000072796,0,
q2,n16_narrow_sector_1,narrow_sector,16,16,1168.7067418842855,73.04417136776785,3833.5337094214296,54,0,0.20250189999933355,2,0.11321029998362064,0,
