method,case,family,sources,cleared,virtual_time_s,s_per_source,movement_m,measurements,failed_clears,runtime_s,planning_calls,planning_time_s,cover_searches,failure
current,n10_uniform_disk_0,uniform_disk,10,10,3142.1584705052614,314.2158470505261,11440.792352526309,134,1,1.797617100000025,8,1.3413875000001099,0,
current,n10_outer_ring_3,outer_ring,10,10,3560.412668253851,356.0412668253851,12812.06334126925,158,3,1.3192802999997184,9,1.030477799999062,0,
current,n10_narrow_sector_2,narrow_sector,10,10,2332.015354593527,233.20153545935267,7595.076772967634,127,1,0.9218131000002359,2,0.2795579999997244,0,
current,n11_uniform_disk_1,uniform_disk,11,11,2689.372367435232,244.48839703956654,9361.861837176157,126,4,0.9335447999997086,5,0.5004284999999982,0,
current,n11_two_clusters_0,two_clusters,11,11,2506.0513071566256,227.8228461051478,8315.25653578313,131,1,0.6883764000003794,3,0.3313316999997369,0,
current,n11_narrow_sector_3,narrow_sector,11,11,2411.7842492984437,219.2531135725858,8043.9212464922175,125,0,0.8499781000000439,1,0.1768194000001131,0,
current,n12_uniform_disk_2,uniform_disk,12,12,3248.2509102110826,270.68757585092357,12071.254551055417,128,4,1.7308186999998725,10,1.2432786999993368,0,
current,n12_two_clusters_1,two_clusters,12,12,2195.679878198023,182.97332318316856,7328.399390990112,112,0,0.5835431000000426,0,0.0,0,
current,n12_coverage_seams_0,coverage_seams,12,12,3162.9850904453233,263.5820908704436,11539.925452226613,130,8,1.4317386999996415,8,1.0444249000001946,0,
current,n13_uniform_disk_3,uniform_disk,13,13,3001.044316789611,230.84956282997007,11050.221583948052,121,1,0.798989999999776,3,0.35567029999992883,0,
current,n13_two_clusters_2,two_clusters,13,13,2224.613845493184,171.12414196101415,7473.06922746592,111,0,0.49897740000005797,0,0.0,0,
current,n13_coverage_seams_1,coverage_seams,13,13,3316.7740698500647,255.13646691154344,12303.870349250326,128,12,1.7420726999998806,12,1.3819294000004447,0,
current,n14_outer_ring_0,outer_ring,14,14,4031.115479309143,287.9368199506531,15575.577396545712,141,3,0.842152900000201,4,0.44283240000049773,0,
current,n14_two_clusters_3,two_clusters,14,14,2393.5478615150346,170.96770439393103,8167.7393075751725,115,1,0.6436809000001631,2,0.19279369999958362,0,
current,n14_coverage_seams_2,coverage_seams,14,14,3315.3686533586683,236.8120466684763,12276.84326679335,129,9,1.4126615999998648,9,1.0776412000004711,0,
current,n15_outer_ring_1,outer_ring,15,15,3493.7253680006147,232.91502453337432,13148.626840003077,130,6,1.5663621999997304,10,1.069000600000436,0,
current,n15_narrow_sector_0,narrow_sector,15,15,2389.300777432054,159.28671849547027,8076.503887160272,117,0,0.5193082999999206,0,0.0,0,
current,n15_coverage_seams_3,coverage_seams,15,15,3430.1978657942395,228.67985771961597,13145.989328971194,118,11,1.6134897000001729,11,1.2357954999988578,0,
current,n16_outer_ring_2,outer_ring,16,16,3617.637019630691,226.1023137269182,14543.185098153454,105,2,1.0149802999999338,6,0.6301537000003918,0,
current,n16_narrow_sector_1,narrow_sector,16,16,1276.8741227302933,79.80463267064333,2329.370613651465,122,0,0.30520320000005086,0,0.0,0,
