x,y,area_m2,posterior_mass,R_conditional_min_m,R_conditional_max_m
48.03083724265517,-1.6231269637646846,9.58726579250498,0.0003469369951044399,1000,1500
47.94243634483288,-1.515317027475847,9.587265792501142,0.000346936995104301,1000,1500
47.84074535199914,-1.407499878815408,9.587265792505008,0.0003469369951044409,1000,1500
47.722769194688844,-1.2996760309548308,9.587265792501114,0.00034693699510429996,1000,1500
47.58452139060256,-1.1918459970973063,9.587265792505008,0.0003469369951044409,1000,1500
47.420577186003754,-1.084010290475586,9.587265792505022,0.0003469369951044414,1000,1500
47.22336135693337,-0.9761694243494268,9.587265792501086,0.00034693699510429893,1000,1500
46.98196699249458,-0.8683239120030194,9.587265792505036,0.00034693699510444194,1000,1500
46.680101373426155,-0.7604742667427861,9.587265792505008,0.0003469369951044409,1000,1500
46.29230338497346,-0.652621001894828,9.587265792501114,0.00034693699510429996,1000,1500
45.77646853016135,-0.5447646308023484,9.587265792505015,0.0003469369951044411,1000,1500
45.05770157782128,-0.43690566682345394,9.587265792505022,0.0003469369951044414,1000,1500
43.98918826100376,-0.3290446233285992,9.58726579250111,0.00034693699510429985,1000,1500
42.24225084252714,-0.22118201369801127,9.587265792505011,0.000346936995104441,1000,1500
82.14679224971869,-0.30722974688729626,9.587265792501112,0.0003469369951042999,1000,1500
71.66192125647139,-0.10786422769350865,9.587265792505017,0.00034693699510444123,1000,1500
108.15126334323959,-3.654802659607422,9.587265792505027,0.0003469369951044416,1000,1500
112.68837832979489,-3.561742612610934,9.587265792501103,0.0003469369951042996,1000,1500
112.66689922931303,-3.3147194059161804,9.587265792505026,0.00034693699510444156,1000,1500
112.64207484883786,-3.0676804223328156,9.587265792501094,0.00034693699510429925,1000,1500
112.61369205359983,-2.820626837678741,9.587265792505011,0.000346936995104441,1000,1500
112.58167337637327,-2.573559827841364,9.587265792505008,0.0003469369951044409,1000,1500
112.54627511226246,-2.3264805687721157,9.587265792501107,0.00034693699510429974,1000,1500
112.50852602859706,-2.0793902364805548,9.587265792505026,0.00034693699510444156,1000,1500
112.47123934906048,-1.832290007028994,9.587265792505011,0.000346936995104441,1000,1500
112.44149694202665,-1.5851810565269786,9.587265792501107,0.00034693699510429974,1000,1500
112.43731110712255,-1.3380645611253863,9.587265792505008,0.0003469369951044409,1000,1500
112.50786875828963,-1.090941697011058,9.587265792505013,0.00034693699510444107,1000,1500
124.37973530845221,-1.013079257450345,9.587265792501112,0.0003469369951042999,1000,1500
122.97541648971256,-0.7414064868959388,9.587265792505013,0.00034693699510444107,1000,1500
