case_id,family,method,status,sources,directional_sources,cleared,false_absent,envelope_checks,envelope_violations,virtual_time_s,seconds_per_cleared,runtime_s,movement_m,measures,clear_attempts,clear_failures,optical_cover_count,scanned_sites,required_sites,shared_measures,actions,deferred_localizations,direction_readings,no_signal_readings,completion_reason,after_last_clear_s,coverage_cells,certified_cells,retired_sites,reused_scans,moved_sites,certificate_calls,negative_pair_cuts,history_pair_cuts,service_attempts,service_accepts,clear_adjustments,local_leg_saving_m,exact_route_calls
2026091161_013_all_omni_regression,all_omni_regression,q4_compact,PASS,10,0,10,0,41,0,6199.693278164188,619.9693278164189,4.920859499994549,21268.466390820948,316,11,1,0,22,22,7,329,1,41,275,continuous_position_heading_coverage,435.6600677878905,2130,2130,0,0,0,160,0,0,0,0,0,0,0
2026091161_013_all_omni_regression,all_omni_regression,q4_service,PASS,10,0,10,0,41,0,6151.366205079149,615.1366205079149,4.70880279999983,21026.831025395757,316,11,1,0,22,22,7,329,1,41,275,continuous_position_heading_coverage,430.01068254317306,2130,2130,0,0,18,105,0,0,21,18,8,259.3461128659333,18
2026091161_014_uniform_mixed,uniform_mixed,q4_compact,PASS,12,11,12,0,37,0,6558.9104041760265,546.5758670146689,4.7545708999969065,21634.552020880143,362,13,1,0,22,22,13,377,1,35,327,continuous_position_heading_coverage,86.15720695315304,2130,2130,0,0,1,162,0,5,0,0,0,0,0
2026091161_014_uniform_mixed,uniform_mixed,q4_service,PASS,12,11,12,0,37,0,6525.993658753206,543.8328048961005,4.775674600001366,21469.96829376602,362,13,1,0,22,22,13,377,1,35,327,continuous_position_heading_coverage,84.97168536192567,2130,2130,0,0,15,117,0,5,21,15,8,233.7428309881052,24
2026091161_015_boundary_outward,boundary_outward,q4_compact,PASS,13,1,13,0,38,0,5975.753272346646,459.6733286420497,4.690207899999223,18823.76636173323,359,13,0,0,22,22,4,374,0,31,328,continuous_position_heading_coverage,0.0,2130,2130,0,0,2,168,0,8,0,0,0,0,0
2026091161_015_boundary_outward,boundary_outward,q4_service,PASS,13,1,13,0,37,0,5946.830490041757,457.4484992339813,4.677659200002381,18739.15245020879,357,13,0,0,22,22,8,372,0,32,325,continuous_position_heading_coverage,0.0,2130,2130,0,0,15,123,0,6,21,15,12,136.4155870063156,29
2026091161_016_two_clusters,two_clusters,q4_compact,PASS,14,7,14,0,65,0,6500.095924925158,464.2925660660827,5.5678171000035945,23275.479624625787,295,19,5,0,22,22,25,316,3,65,230,continuous_position_heading_coverage,1384.0466657874204,2130,2130,0,0,0,203,0,2,0,0,0,0,0
2026091161_016_two_clusters,two_clusters,q4_service,PASS,14,7,14,0,65,0,6494.272939106061,463.8766385075758,5.555599400002393,23201.36469553031,296,19,5,0,22,22,26,317,2,65,231,continuous_position_heading_coverage,1371.29233719055,2130,2130,0,0,17,147,0,2,21,17,12,289.44832632718084,23
2026091161_017_narrow_sector,narrow_sector,q4_compact,PASS,15,14,15,0,63,0,6365.707064304666,424.3804709536444,5.401642999997421,19423.535321523334,401,16,1,0,22,22,70,419,0,60,341,continuous_position_heading_coverage,1312.7608310163969,2130,2130,0,0,0,193,0,5,0,0,0,0,0
2026091161_017_narrow_sector,narrow_sector,q4_service,PASS,15,14,15,0,62,0,6284.607466494903,418.9738310996602,5.751826400002756,19048.037332474516,400,16,1,0,22,22,69,418,0,60,340,continuous_position_heading_coverage,1304.4910540975443,2130,2130,0,0,16,145,0,2,21,16,11,209.95817880168062,27
2026091161_018_tangent_heading,tangent_heading,q4_compact,PASS,16,1,16,0,41,0,5119.36195047647,319.9601219047794,1.3160228000051575,18691.80975238234,216,20,4,0,10,22,10,238,0,41,175,16_distinct_sources_identified,0.0,2130,640,0,0,0,46,0,0,0,0,0,0,0
2026091161_018_tangent_heading,tangent_heading,q4_service,PASS,16,1,16,0,42,0,5076.482771188827,317.2801731993017,1.517362199992931,18457.41385594413,217,19,3,0,10,22,12,238,0,42,175,16_distinct_sources_identified,0.0,2130,640,0,0,4,34,0,0,9,4,12,141.74658092596297,12
2026091161_019_all_directional_stress,all_directional_stress,q4_compact,PASS,10,10,10,0,33,0,7688.803299394545,768.8803299394546,4.014470699999947,26764.016496972723,379,15,5,0,22,22,2,396,1,32,347,continuous_position_heading_coverage,0.0,2130,2130,0,0,0,153,0,3,0,0,0,0,0
2026091161_019_all_directional_stress,all_directional_stress,q4_service,PASS,10,10,10,0,33,0,7621.400154168865,762.1400154168865,4.193827599992801,26307.000770844334,383,15,5,0,22,22,2,400,1,32,351,continuous_position_heading_coverage,0.0,2130,2130,0,0,15,104,0,3,21,15,6,239.40807438036143,24
2026091161_020_all_omni_regression,all_omni_regression,q4_compact,PASS,11,0,11,0,43,0,5879.903259233729,534.5366599303389,4.875520600005984,20299.516296168644,294,12,1,0,22,22,13,308,1,43,251,continuous_position_heading_coverage,198.27537813511208,2130,2130,0,0,1,171,0,0,0,0,0,0,0
2026091161_020_all_omni_regression,all_omni_regression,q4_service,PASS,11,0,11,0,43,0,5847.695584724574,531.6086895204157,4.598679700000503,20048.477923622868,297,12,1,0,22,22,13,311,1,43,254,continuous_position_heading_coverage,726.3654953848063,2130,2130,0,0,16,126,0,0,21,16,11,260.1109196037525,18
2026091161_021_uniform_mixed,uniform_mixed,q4_compact,PASS,13,1,13,0,39,0,5712.594942123709,439.43038016336226,4.699246000003768,19667.974710618553,286,13,0,0,22,22,10,301,0,39,247,continuous_position_heading_coverage,0.0,2130,2130,0,0,0,174,0,0,0,0,0,0,0
2026091161_021_uniform_mixed,uniform_mixed,q4_service,PASS,13,1,13,0,37,0,5650.622237887716,434.6632490682859,5.013609100002213,19473.111189438583,282,13,0,0,22,22,9,297,0,37,245,continuous_position_heading_coverage,0.0,2130,2130,0,0,16,126,0,0,21,16,11,210.01134757433363,20
2026091161_022_boundary_outward,boundary_outward,q4_compact,PASS,14,7,14,0,88,0,8991.667400965318,642.2619572118084,4.8588168999995105,31573.337004826568,440,20,6,0,22,22,7,462,4,50,390,continuous_position_heading_coverage,0.0,2130,2130,0,0,1,163,0,45,0,0,0,0,0
2026091161_022_boundary_outward,boundary_outward,q4_service,PASS,14,7,14,0,85,0,9195.995440212379,656.8568171580271,4.9646161000055145,32574.977201061884,441,21,7,0,22,22,4,464,2,51,390,continuous_position_heading_coverage,0.0,2130,2130,0,0,15,110,0,39,21,15,14,253.75168427688178,29
2026091161_023_two_clusters,two_clusters,q4_compact,PASS,15,14,15,0,53,0,6217.023074120171,414.46820494134477,5.209887899996829,21930.11537060086,293,16,1,0,22,22,22,311,1,51,242,continuous_position_heading_coverage,0.0,2130,2130,0,0,0,186,0,6,0,0,0,0,0
2026091161_023_two_clusters,two_clusters,q4_service,PASS,15,14,15,0,54,0,6171.19377592619,411.4129183950793,5.297407700003532,21675.968879630957,294,16,1,0,22,22,23,312,1,52,242,continuous_position_heading_coverage,0.0,2130,2130,0,0,15,141,0,6,21,15,9,269.9834306165667,22
2026091161_024_narrow_sector,narrow_sector,q4_compact,PASS,16,1,16,0,42,0,2704.6488063079205,169.04055039424503,1.129905300003884,7908.244031539605,174,17,1,0,8,22,14,193,0,42,132,16_distinct_sources_identified,0.0,2130,420,0,0,0,36,0,0,0,0,0,0,0
2026091161_024_narrow_sector,narrow_sector,q4_service,PASS,16,1,16,0,41,0,2690.6936340357247,168.1683521272328,1.2143279000010807,7858.468170178617,173,18,2,0,8,22,12,193,0,41,132,16_distinct_sources_identified,0.0,2130,424,0,0,3,27,0,0,7,3,15,103.28285524903423,12
2026091161_025_tangent_heading,tangent_heading,q4_compact,PASS,10,5,10,0,39,0,6026.767825205066,602.6767825205067,4.001724500005366,18143.83912602533,391,11,1,0,22,22,3,404,0,38,353,continuous_position_heading_coverage,167.46740494558162,2130,2130,0,0,0,146,0,1,0,0,0,0,0
2026091161_025_tangent_heading,tangent_heading,q4_service,PASS,10,5,10,0,39,0,6002.083266321056,600.2083266321056,4.292493900000409,18020.416331605273,391,11,1,0,22,22,3,404,0,38,353,continuous_position_heading_coverage,167.33694745418688,2130,2130,0,0,15,101,0,1,21,15,7,127.13607705415507,24
2026091161_026_all_directional_stress,all_directional_stress,q4_compact,PASS,11,11,11,0,33,0,6468.720861076648,588.0655328251498,4.608423600002425,22178.604305383236,329,13,2,0,22,22,9,344,1,33,296,continuous_position_heading_coverage,619.6405141300183,2130,2130,0,0,0,171,0,1,0,0,0,0,0
2026091161_026_all_directional_stress,all_directional_stress,q4_service,PASS,11,11,11,0,32,0,6414.895765365631,583.1723423059665,4.584604800002126,21954.47882682814,328,12,1,0,22,22,9,342,1,32,296,continuous_position_heading_coverage,613.3162630865627,2130,2130,0,0,18,117,0,1,21,18,6,165.99703483608914,24
2026091161_027_all_omni_regression,all_omni_regression,q4_compact,PASS,12,0,12,0,34,0,5884.596789514562,490.3830657928802,4.544071299998905,20052.983947572808,302,13,1,0,22,22,6,317,0,34,268,continuous_position_heading_coverage,172.5002768645636,2130,2130,0,0,0,161,0,0,0,0,0,0,0
2026091161_027_all_omni_regression,all_omni_regression,q4_service,PASS,12,0,12,0,34,0,5842.61553591758,486.8846279931317,4.361263800004963,19843.077679587906,302,13,1,0,22,22,6,317,0,34,268,continuous_position_heading_coverage,175.5912935329552,2130,2130,0,0,16,113,0,0,21,16,12,239.6884609020865,22
