x,y,area_m2,posterior_mass
82.12847677017822,-2.6070867012688455,87.26445529069946,0.0034723161992183792
80.76091701457733,-2.088684516672268,87.26445529069952,0.003472316199218382
78.71002936418431,-1.5702116378652837,87.26445529069957,0.003472316199218384
75.3163349695015,-1.0516856132284609,87.26445529069952,0.003472316199218382
151.60856773555793,-1.5120904255729153,87.26445529069952,0.003472316199218382
131.20529021836518,-0.5185801568251482,87.26445529069949,0.0034723161992183805
207.48690138481234,-6.5864650430755916,87.26445529069943,0.0034723161992183784
207.6460803921879,-5.370260382067775,87.26445529069949,0.0034723161992183805
229.63238640732564,-4.988323660439855,87.2644552906995,0.003472316199218381
227.03730677136025,-3.6499404848148167,87.26445529069947,0.00347231619921838
209.12886512062636,-1.7207205042821,87.2644552906995,0.003472316199218381
209.13533669272306,-0.5040358284376932,87.2644552906995,0.003472316199218381
287.38011023160504,-9.598881927200198,87.26445529069942,0.0034723161992183775
286.16813327727857,-7.926122966418728,87.26445529069943,0.0034723161992183784
272.4624506800482,-5.4686242332719495,87.26445529069947,0.00347231619921838
272.4896547459066,-3.8834183445863477,87.26445529069947,0.00347231619921838
272.50763604938396,-2.2980810166185757,87.26445529069952,0.003472316199218382
272.51639398188,-0.7126659071468849,87.26445529069949,0.0034723161992183805
323.0764793897414,-10.273708150371666,87.26445529069942,0.0034723161992183775
323.1307815945596,-8.393962122740447,87.26445529069943,0.0034723161992183784
323.1741470230096,-6.513931990679042,87.26445529069952,0.003472316199218382
323.20657420733255,-4.63368138622219,87.2644552906994,0.003472316199218377
323.2280620499889,-2.7532739488668048,87.26445529069949,0.0034723161992183805
323.238609823695,-0.8727733234180067,87.2644552906995,0.003472316199218381
366.69779055632864,-11.677999320869002,87.26445529069949,0.0034723161992183805
366.75952434026675,-9.544452458498743,87.26445529069954,0.0034723161992183827
366.8088446769967,-7.4105825518750645,87.26445529069952,0.003472316199218382
366.84574989720835,-5.2764618245659385,87.26445529069949,0.0034723161992183805
366.87023875179716,-3.142162508628683,87.26445529069954,0.0034723161992183827
366.88231041190625,-1.0077568421651786,87.2644552906995,0.003472316199218381
405.60082461150944,-12.928938425261029,87.26445529069949,0.0034723161992183805
405.6691776615189,-10.569042992043137,87.2644552906995,0.003472316199218381
405.7238003171236,-8.20878983598912,87.26445529069952,0.003472316199218382
405.7646907295496,-5.848258842898816,87.26445529069952,0.003472316199218382
405.7918475148085,-3.487529907975819,87.26445529069957,0.003472316199218384
405.80526975374386,-1.1266829331233135,87.26445529069954,0.0034723161992183827
441.0591872388718,-14.068236151815867,87.26445529069942,0.0034723161992183775
441.1335683500728,-11.502034210046531,87.26445529069943,0.0034723161992183784
441.1930187290118,-8.93544296715486,87.26445529069954,0.0034723161992183827
441.2375363635143,-6.368549292718283,87.26445529069956,0.003472316199218383
441.26711974682394,-3.801440066550419,87.26445529069949,0.0034723161992183805
441.28176787765295,-1.2342021757605084,87.26445529069944,0.003472316199218379
473.85682331589015,-15.121467054228653,87.26445529069936,0.0034723161992183753
473.9367768024752,-12.364439452707982,87.26445529069943,0.0034723161992183784
474.00068929007205,-9.606993360851767,87.26445529069937,0.0034723161992183758
474.0485586154805,-6.849222107964962,87.26445529069935,0.003472316199218375
474.0803831585017,-4.091219034358005,87.26445529069946,0.0034723161992183792
