bin,lo_deg,hi_deg,probability,loss_m,representative_angle_deg
172,172,173,0.0,0.0,172.5
173,173,174,0.0,0.0,173.5
174,174,175,0.0,0.0,174.5
175,175,176,0.0,0.0,175.5
176,176,177,0.0,0.0,176.5
177,177,178,0.0,0.0,177.5
178,178,179,0.0,0.0,178.5
179,179,180,0.0,0.0,179.5
180,180,181,0.0,0.0,180.5
181,181,182,0.0,0.0,181.5
182,182,183,0.0,0.0,182.5
183,183,184,0.0,0.0,183.5
184,184,185,0.0,0.0,184.5
185,185,186,0.0,0.0,185.5
186,186,187,0.0,0.0,186.5
187,187,188,0.0,0.0,187.5
188,188,189,0.0,0.0,188.5
189,189,190,0.0,0.0,189.5
190,190,191,0.0,0.0,190.5
191,191,192,0.0,0.0,191.5
192,192,193,0.0,0.0,192.5
193,193,194,0.0,0.0,193.5
194,194,195,0.0,0.0,194.5
195,195,196,0.0,0.0,195.5
196,196,197,0.0,0.0,196.50000000000003
197,197,198,0.0,0.0,197.5
198,198,199,0.0,0.0,198.5
199,199,200,0.0,0.0,199.5
200,200,201,0.0,0.0,200.5
201,201,202,0.0,0.0,201.5
202,202,203,0.0,0.0,202.5
203,203,204,0.0,0.0,203.5
204,204,205,0.0,0.0,204.5
205,205,206,7.204485623698077e-10,10.397384268601824,205.9624488049526
206,206,207,0.0004923700452671262,30.561967378549852,206.5
207,207,208,0.0022288536637284123,66.20675763647151,207.5
208,208,209,0.00273559451763933,71.3145023887885,208.5
209,209,210,0.0033545044461980524,69.19071289200943,209.5
210,210,211,0.005953200441899437,67.20964137458525,210.5
211,211,212,0.007038858571057294,65.35821096416424,211.5
212,212,213,0.006602247542408331,63.624910248476645,212.5
213,213,214,0.006891589759695166,61.999566501868856,213.5
214,214,215,0.008107724419745966,60.47315724491474,214.50000000000003
215,215,216,0.008735699029700837,59.03765278577792,215.5
216,216,217,0.008472562587169604,57.6858839602853,216.5
217,217,218,0.008843725747369103,56.41143048936355,217.5
218,218,219,0.009596595078109406,55.208526300365314,218.5
219,219,220,0.00921650081396893,54.071978880504375,219.5
220,220,221,0.009446032134376453,52.99710029579571,220.5
221,221,222,0.009580567543674149,51.979647954388696,221.5
222,222,223,0.009411262323058571,51.01577354650707,222.5
223,223,224,0.009687770250280303,50.10197887507364,223.50000000000003
224,224,225,0.009589523783718443,49.23507751721479,224.5
225,225,226,0.009625931065883737,48.41216143918535,225.5
226,226,227,0.009631833060397034,47.63057183505746,226.5
227,227,228,0.009693022276498977,46.887873579895725,227.5
228,228,229,0.009655732421471113,46.18183278662758,228.5
229,229,230,0.009645570211409799,45.51039703675331,229.50000000000003
230,230,231,0.009612103256670205,44.87167792185028,230.5
231,231,232,0.00958725563117385,44.26393558814937,231.5
232,232,233,0.009558757776695386,43.6855650225229,232.5
233,233,234,0.009524072488621896,43.13508385664335,233.49999999999997
234,234,235,0.009502183980091077,42.6111214982891,234.50000000000003
235,235,236,0.00946111013538607,42.11240942583849,235.5
236,236,237,0.009447513129064972,41.63777250485114,236.5
237,237,238,0.009425561766274312,41.186121204948094,237.49999999999997
238,238,239,0.009421650512089994,40.75644461162319,238.50000000000003
239,239,240,0.009358010990831845,40.34780414158319,239.5
240,240,241,0.009342859474739122,39.95932788213941,240.5
241,241,242,0.009308169738484879,39.590205485391905,241.5
242,242,243,0.009293936510371666,39.23968355671523,242.49999999999997
243,243,244,0.009288482303158681,38.907061484599254,243.50000000000003
244,244,245,0.009271096386715515,38.59168766541814,244.5
245,245,246,0.009276139421777166,38.292956082337184,245.5
246,246,247,0.009232269599082556,38.0103032024529,246.49999999999997
247,247,248,0.009202451285970505,37.743205160516666,247.50000000000003
248,248,249,0.00920171218290207,37.49117520129737,248.5
249,249,250,0.009247050370696676,37.25376135587523,249.5
250,250,251,0.009249228930753632,37.030544329993326,250.5
251,251,252,0.009280523229166511,36.821135585085194,251.49999999999997
252,252,253,0.009311207143477161,36.62517559478673,252.50000000000003
253,253,254,0.009335235849758781,36.44233226167233,253.5
254,254,255,0.009332735377369807,36.272299480665595,254.5
255,255,256,0.009237512701056631,36.11479583709503,255.49999999999997
256,256,257,0.009224944481509607,35.96956342870768,256.5
257,257,258,0.009254060382929712,35.83636680216423,257.5
258,258,259,0.009366318967811493,35.71499199561365,258.5
259,259,260,0.009478244364649748,35.60524567991357,259.5
260,260,261,0.009568266152072596,35.506954391937704,260.50000000000006
261,261,262,0.009644056226930278,35.41996385420178,261.5
262,262,263,0.009734696383638691,35.34413837576051,262.5
263,263,264,0.009739047275147685,35.279360329986524,263.5
264,264,265,0.009677016975702087,35.22552970545018,264.5
265,265,266,0.00972590520169637,35.18256372668024,265.5
266,266,267,0.009806330030818879,35.1503965421124,266.5
267,267,268,0.00990462588023104,35.1289789770241,267.5
268,268,269,0.0099966582493663,35.11827834972563,268.5
269,269,270,0.010101624369001937,35.391683856326125,269.50000000000006
270,270,271,0.010204174719467055,35.90822403905434,270.5
271,271,272,0.010314861973078916,36.438516500327225,271.5
272,272,273,0.010426765821070709,36.9833077035114,272.5
273,273,274,0.010542178567242062,37.54337865037249,273.5
274,274,275,0.01066223017295035,38.11954736453379,274.5
275,275,276,0.010781358097298249,38.71267161601615,275.5
276,276,277,0.010912760819836689,39.32365190101679,276.5
277,277,278,0.01110410616288597,39.95343469421654,277.5
278,278,279,0.011324423230224532,40.60301599415628,278.50000000000006
279,279,280,0.011472361504896925,41.273445185654055,279.5
280,280,281,0.011619990381902817,41.965829246910694,280.5
281,281,282,0.011771888232504732,42.68133733293883,281.5
282,282,283,0.011932885854099145,43.42120577131828,282.5
283,283,284,0.012226787182478679,44.186743511110194,283.5
284,284,285,0.012522429590346409,44.979338071140944,284.5
285,285,286,0.012644877685943707,45.80046203988779,285.5
286,286,287,0.012789031801723999,46.65168018597871,286.5
287,287,288,0.013161920129617359,47.534657245987,287.50000000000006
288,288,289,0.013480083204380697,48.4511664648938,288.5
289,289,290,0.013736260126190957,49.4030989745037,289.5
290,290,291,0.014030320058054258,50.392474106398716,290.5
291,291,292,0.014310121283902596,51.42145074897521,291.5
292,292,293,0.014750189505488011,52.49233987296797,292.5
293,293,294,0.015067338994907078,53.60761836698188,293.5
294,294,295,0.01541176278699843,54.76994434429518,294.5
295,295,296,0.015882407240399743,55.98217410502926,295.5
296,296,297,0.01626948099825369,57.24738096425258,296.50000000000006
297,297,298,0.01674127394538902,58.568876187356416,297.5
298,298,299,0.017273598988894835,59.950232309877585,298.5
299,299,300,0.01772614701659631,61.39530916081009,299.5
300,300,301,0.01810814355871651,61.210172627105344,300.5
301,301,302,0.015748642888705686,54.0493859869991,301.5
302,302,303,0.009254235063957351,45.1626232632665,302.5
303,303,304,0.0028457352551041846,24.420477726718822,303.5
304,304,305,0.00018132958743091694,3.8572185531355774,304.5
305,305,306,0.0,0.0,305.50000000000006
306,306,307,0.0,0.0,306.5
307,307,308,0.0,0.0,307.5
308,308,309,0.0,0.0,308.5
309,309,310,0.0,0.0,309.5
310,310,311,0.0,0.0,310.5
311,311,312,0.0,0.0,311.5
312,312,313,0.0,0.0,312.5
313,313,314,0.0,0.0,313.5
314,314,315,0.0,0.0,314.50000000000006
315,315,316,0.0,0.0,315.5
316,316,317,0.0,0.0,316.5
317,317,318,0.0,0.0,317.5
318,318,319,0.0,0.0,318.5
319,319,320,0.0,0.0,319.5
320,320,321,0.0,0.0,320.5
321,321,322,0.0,0.0,321.5
322,322,323,0.0,0.0,322.5
323,323,324,0.0,0.0,323.50000000000006
324,324,325,0.0,0.0,324.5
325,325,326,0.0,0.0,325.5
326,326,327,0.0,0.0,326.5
327,327,328,0.0,0.0,327.5
328,328,329,0.0,0.0,328.5
329,329,330,0.0,0.0,329.5
330,330,331,0.0,0.0,330.5
331,331,332,0.0,0.0,331.5
332,332,333,0.0,0.0,332.50000000000006
333,333,334,0.0,0.0,333.5
334,334,335,0.0,0.0,334.5
335,335,336,0.0,0.0,335.5
336,336,337,0.0,0.0,336.5
337,337,338,0.0,0.0,337.5
338,338,339,0.0,0.0,338.5
339,339,340,0.0,0.0,339.5
340,340,341,0.0,0.0,340.5
341,341,342,0.0,0.0,341.50000000000006
342,342,343,0.0,0.0,342.5
343,343,344,0.0,0.0,343.5
344,344,345,0.0,0.0,344.5
345,345,346,0.0,0.0,345.5
346,346,347,0.0,0.0,346.5
347,347,348,0.0,0.0,347.5
348,348,349,0.0,0.0,348.5
349,349,350,0.0,0.0,349.5
350,350,351,0.0,0.0,350.50000000000006
351,351,352,0.0,0.0,351.5
352,352,353,0.0,0.0,352.5
353,353,354,0.0,0.0,353.5
354,354,355,0.0,0.0,354.5
355,355,356,0.0,0.0,355.5
356,356,357,0.0,0.0,356.5
357,357,358,0.0,0.0,357.5
358,358,359,0.0,0.0,358.5
359,359,360,0.0,0.0,359.50000000000006
