strategy,qx,qy,distance_m,bearing_deg,error_deg,radius_m,diameter_m,center_x,center_y
沿示向前进,300.0,0.0,600.0,0.35,0.35,447.5879645957249,895.0639580872456,752.5745301123432,3.3659226188439106
侧向移动,0.0,300.0,948.6832980505138,341.915051177078,0.35,105.95478317728954,211.9095663545792,930.1447904305403,-1.8276058894929719
推荐测点,840.0,495.0,498.62310415783986,277.2612271190247,0.35,19.109143392361414,38.218286784722885,903.3937779487708,-0.1884050909790176
